ԱԱ	ɑ ɑ́
Քութաիս	kʰ u tʰ ɑ j í s
Քութայիս	kʰ u tʰ ɑ j í s
Քութայիսի	kʰ u tʰ ɑ j í s i
Քուչակ	kʰ u t͡ʃʰ ɑ́ ɡ
Քուչուկյան	kʰ u t͡ʃʰ u ɡ j ɑ́ n
Քուռ	kʰ u r
Քուվեյթ	kʰ u v é j tʰ
Քոքոբելյան	kʰ o kʰ o pʰ e l j ɑ́ n
Քսենոկրատես	kʰ s e n o ɡ ɾ ɑ d é s
Քսենոփանես	kʰ s e n o pʰ ɑ n é s
Քսենոփոն	kʰ s e n o pʰ ó n
Քսենոֆան	kʰ s e n o f ɑ́ n
Քսենոֆոն	kʰ s e n o f ó n
Քրդստան	kʰ ə ɾ tʰ ə s t ɑ́ n
Քրիստոս	kʰ ɾ i s t ó s
Օ	o
ՕԵԿ	o j é ɡ
Օբ	o pʰ
Օբամա	o pʰ ɑ m ɑ́
Օբամա	o pʰ ɑ́ m ɑ
Օգոստոս	o kʰ o s t ó s
Օդաբաշյան	o tʰ ɑ pʰ ɑ ʃ j ɑ́ n
Օդաջյան	o tʰ ɑ t͡ʃʰ j ɑ́ n
Օզանյան	o z ɑ n j ɑ́ n
Օլիմպոս	o l i m b ó s
Օկա	o ɡ ɑ́
Օկտավիանոս	o ɡ d ɑ v i j ɑ n ó s
Օհայո	o h ɑ j ó
Օհան	o h ɑ́ n
Օհանես	o h ɑ n é s
Օհանեսյան	o h ɑ n e s j ɑ́ n
Օհանյան	o h ɑ n j ɑ́ n
Օման	o m ɑ́ n
Օմարտյան	o m ɑ ɾ d j ɑ́ n
Օմսկ	o m s k
Օնիկ	o n í ɡ
Օշ	o ʃ
Օսեթիա	o s é tʰ i j ɑ
Օսիա	ó s i j ɑ
Օսիրիս	o s i ɾ í s
Օսլո	o s l ó
Օսլո	ó s l o
Օսկան	o s k ɑ́ n
Օսկանյան	o s k ɑ n j ɑ́ n
Օսրոյենե	o s ɾ o j e n é
Օվկիանիա	o v ɡ i j ɑ́ n i j ɑ
Օտաճյան	o d ɑ d͡ʒ j ɑ́ n
Օտունճյան	o d u n d͡ʒ j ɑ́ n
Օտտավա	o dː ɑ v ɑ́
Օտտավա	o dː ɑ́ v ɑ
Օրբելյան	o ɾ pʰ e l j ɑ́ n
Օրդուբադ	o ɾ tʰ u pʰ ɑ́ tʰ
Օրեգոն	o ɾ e kʰ ó n
Օրենբուրգ	o ɾ e n pʰ ú ɾ kʰ
Օրիսա	o ɾ i s ɑ́
Օրյոլ	o ɾ j ó l
Օրջանյան	o ɾ t͡ʃʰ ɑ n j ɑ́ n
Օրտա	ó ɾ d ɑ
Օքսֆորդ	o kʰ s f ó ɾ tʰ
Օֆելյա	o f e l j ɑ́
Ֆ	f ə
Ֆաթիմյան	f ɑ tʰ i m j ɑ́ n
Ֆամագուստա	f ɑ m ɑ kʰ ú s t ɑ
Ֆարերներ	f ɑ ɾ e ɾ n é ɾ
Ֆարսակյան	f ɑ ɾ s ɑ ɡ j ɑ́ n
Ֆեյս	f e j s
Ֆերմանյան	f e ɾ m ɑ n j ɑ́ n
Ֆիլիպ	f i l í b
Ֆիլիպիններ	f i l i b i nː é ɾ
Ֆինլանդիա	f i n l ɑ́ n tʰ i j ɑ
Ֆիշենկճյան	f i ʃ e ŋ ɡ d͡ʒ j ɑ́ n
Ֆիջի	f i t͡ʃʰ í
Ֆիջի	f í t͡ʃʰ i
Ֆլանդրիա	f l ɑ́ n tʰ ɾ i j ɑ
Ֆլորենցիա	f l o ɾ é n t͡sʰ i j ɑ
Ֆրանգուլյան	f ɾ ɑ ŋ kʰ u l j ɑ́ n
Ֆրանսիա	f ə ɾ ɑ́ n s i j ɑ
Ֆրանսիա	f ɾ ɑ́ n s i j ɑ
Ֆրեզնո	f ɾ e z n ó
Ֆրիդրիխ	f ɾ i tʰ ɾ í χ
Ֆրիուլի	f ɾ i j u l í
Ֆրիուլի	f ɾ i j ú l i
Ֆրունզե	f ɾ u n z é
ա	ɑ
աբա	ɑ pʰ ɑ́
աբանոս	ɑ pʰ ɑ n ó s
աբասանոց	ɑ pʰ ɑ s ɑ n ó t͡sʰ
աբասի	ɑ pʰ ɑ s í
աբարանցի	ɑ pʰ ɑ ɾ ɑ n t͡sʰ í
աբբա	ɑ pʰː ɑ́
աբբահայր	ɑ pʰː ɑ h ɑ́ j ɾ
աբբայական	ɑ pʰː ɑ j ɑ ɡ ɑ́ n
աբբայարան	ɑ pʰː ɑ j ɑ ɾ ɑ́ n
աբբայություն	ɑ pʰː ɑ j u tʰ ʏ́ n
աբբայուհի	ɑ pʰː ɑ j u h í
աբեթ	ɑ pʰ é tʰ
աբեթասունկ	ɑ pʰ e tʰ ɑ s ú ŋ ɡ
աբեթենի	ɑ pʰ e tʰ e n í
աբեղա	ɑ pʰ e ʁ ɑ́
աբեղաթող	ɑ pʰ e ʁ ɑ tʰ ó ʁ
աբեղախոտ	ɑ pʰ e ʁ ɑ χ ó d
աբեղաձագ	ɑ pʰ e ʁ ɑ t͡sʰ ɑ́ kʰ
աբեղայական	ɑ pʰ e ʁ ɑ j ɑ ɡ ɑ́ n
աբեղայակերպ	ɑ pʰ e ʁ ɑ j ɑ ɡ é ɾ b
աբեղայություն	ɑ pʰ e ʁ ɑ j u tʰ ʏ́ n
աբեղացու	ɑ pʰ e ʁ ɑ t͡sʰ ú
աբեղուկ	ɑ pʰ e ʁ ú ɡ
աբխազ	ɑ pʰ χ ɑ́ z
աբխազական	ɑ pʰ χ ɑ z ɑ ɡ ɑ́ n
աբխազերեն	ɑ pʰ χ ɑ z e ɾ é n
աբխազներ	ɑ pʰ χ ɑ z n é ɾ
աբոլիցիոնիզմ	ɑ pʰ o l i t͡sʰ i j o n í z m
աբոնեմենտ	ɑ pʰ o n e m é n d
աբոնեմենտային	ɑ pʰ o n e m e n d ɑ j í n
աբոնենտ	ɑ pʰ o n é n d
աբսոլյուտ	ɑ pʰ s o l ʏ́ d
աբսոլյուտիզմ	ɑ pʰ s o l ʏ d í z m
աբսորբել	ɑ pʰ s o ɾ pʰ é l
աբսուրդ	ɑ pʰ s ú ɾ tʰ
աբստրակտ	ɑ pʰ s t ɾ ɑ́ ɡ d
աբստրակցիա	ɑ pʰ s t ɾ ɑ kʰ t͡sʰ i j ɑ́
աբստրակցիա	ɑ pʰ s t ɾ ɑ́ kʰ t͡sʰ i j ɑ
աբստրահել	ɑ pʰ s t ɾ ɑ h é l
աբստրահում	ɑ pʰ s t ɾ ɑ h ú m
աբստրահվել	ɑ pʰ s t ɾ ɑ h v é l
աբրա	ɑ pʰ ɾ ɑ́
աբրեշում	ɑ pʰ ɾ e ʃ ú m
աբրեշումե	ɑ pʰ ɾ e ʃ u m é
ագաթ	ɑ kʰ ɑ́ tʰ
ագահ	ɑ kʰ ɑ́ h
ագահաբար	ɑ kʰ ɑ h ɑ pʰ ɑ́ ɾ
ագահանալ	ɑ kʰ ɑ h ɑ n ɑ́ l
ագահել	ɑ kʰ ɑ h é l
ագահորեն	ɑ kʰ ɑ h o ɾ é n
ագահություն	ɑ kʰ ɑ h u tʰ ʏ́ n
ագատ	ɑ kʰ ɑ́ d
ագարակ	ɑ kʰ ɑ ɾ ɑ́ ɡ
ագարականալ	ɑ kʰ ɑ ɾ ɑ ɡ ɑ n ɑ́ l
ագարակացնել	ɑ kʰ ɑ ɾ ɑ ɡ ɑ t͡sʰ ə n é l
ագեվազ	ɑ kʰ e v ɑ́ z
ագի	ɑ kʰ í
ագնոստիկ	ɑ kʰ n o s t í ɡ
ագնոստիցիզմ	ɑ kʰ n o s t i t͡sʰ í z m
ագոն	ɑ kʰ ó n
ագույց	ɑ kʰ ú j t͡sʰ
ագուռ	ɑ kʰ ú r
ագուցահանել	ɑ kʰ u t͡sʰ ɑ h ɑ n é l
ագուցանել	ɑ kʰ u t͡sʰ ɑ n é l
ագուցավորել	ɑ kʰ u t͡sʰ ɑ v o ɾ é l
ագուցել	ɑ kʰ u t͡sʰ é l
ագուցվել	ɑ kʰ u t͡sʰ v é l
ագռավ	ɑ kʰ r ɑ́ v
ագռավանալ	ɑ kʰ r ɑ v ɑ n ɑ́ l
ագրարային	ɑ kʰ ɾ ɑ ɾ ɑ j í n
ագրեգատավորել	ɑ kʰ ɾ e kʰ ɑ d ɑ v o ɾ é l
ագրեսիա	ɑ kʰ ɾ é s i j ɑ
ագրեսիաները	ɑ kʰ ɾ e s i j ɑ n é ɾ ə
ագրեսիաներից	ɑ kʰ ɾ e s i j ɑ n e ɾ í t͡sʰ
ագրեսիվ	ɑ kʰ ɾ e s í v
ադամաթուզ	ɑ tʰ ɑ m ɑ tʰ ú z
ադամանդ	ɑ tʰ ɑ m ɑ́ n tʰ
ադամանդագործ	ɑ tʰ ɑ m ɑ n tʰ ɑ kʰ ó ɾ d͡z
ադամանդագործական	ɑ tʰ ɑ m ɑ n tʰ ɑ kʰ o ɾ d͡z ɑ ɡ ɑ́ n
ադամանդագործություն	ɑ tʰ ɑ m ɑ n tʰ ɑ kʰ o ɾ d͡z u tʰ ʏ́ n
ադամանդել	ɑ tʰ ɑ m ɑ n tʰ é l
ադամանդվել	ɑ tʰ ɑ m ɑ n tʰ v é l
ադրբեջանական	ɑ tʰ ə ɾ pʰ e t͡ʃʰ ɑ n ɑ ɡ ɑ́ n
ադրբեջաներեն	ɑ tʰ ə ɾ pʰ e t͡ʃʰ ɑ n e ɾ é n
ադրբեջանցի	ɑ tʰ ə ɾ pʰ e t͡ʃʰ ɑ n t͡sʰ í
ազաբ	ɑ z ɑ́ pʰ
ազաբանալ	ɑ z ɑ pʰ ɑ n ɑ́ l
ազաբացնել	ɑ z ɑ pʰ ɑ t͡sʰ ə n é l
ազազանալ	ɑ z ɑ z ɑ n ɑ́ l
ազազել	ɑ z ɑ z é l
ազապ	ɑ z ɑ́ b
ազատ	ɑ z ɑ́ d
ազատագնել	ɑ z ɑ d ɑ kʰ ə n é l
ազատագնվել	ɑ z ɑ d ɑ kʰ ə n v é l
ազատագրել	ɑ z ɑ d ɑ kʰ ɾ é l
ազատագրում	ɑ z ɑ d ɑ kʰ ɾ ú m
ազատագրվել	ɑ z ɑ d ɑ kʰ ə ɾ v é l
ազատազրկել	ɑ z ɑ d ɑ z ə ɾ ɡ é l
ազատականացնել	ɑ z ɑ d ɑ ɡ ɑ n ɑ t͡sʰ ə n é l
ազատամարտ	ɑ z ɑ d ɑ m ɑ́ ɾ d
ազատանի	ɑ z ɑ d ɑ n í
ազատել	ɑ z ɑ d é l
ազատություն	ɑ z ɑ d u tʰ ʏ́ n
ազատքեղ	ɑ z ɑ t kʰ é ʁ
ազբ	ɑ s pʰ
ազբեստ	ɑ s pʰ é s t
ազգ	ɑ s kʰ
ազգաբան	ɑ s kʰ ɑ pʰ ɑ́ n
ազգագրական	ɑ s kʰ ɑ kʰ ə ɾ ɑ ɡ ɑ́ n
ազգադավ	ɑ s kʰ ɑ tʰ ɑ́ v
ազգական	ɑ s kʰ ɑ ɡ ɑ́ n
ազգամիջյան	ɑ s kʰ ɑ m i t͡ʃʰ j ɑ́ n
ազգային	ɑ s kʰ ɑ j í n
ազգայնականություն	ɑ s kʰ ɑ j n ɑ ɡ ɑ n u tʰ ʏ́ n
ազգայնացում	ɑ s kʰ ɑ j n ɑ t͡sʰ ú m
ազգանուն	ɑ s kʰ ɑ n ú n
ազգասեր	ɑ s kʰ ɑ s é ɾ
ազգեր	ɑ s kʰ é ɾ
ազգերի	ɑ s kʰ e ɾ í
ազգովին	ɑ s kʰ o v í n
ազգություն	ɑ s kʰ u tʰ ʏ́ n
ազգուտակ	ɑ s kʰ u d ɑ́ ɡ
ազդ	ɑ s tʰ
ազդակ	ɑ s tʰ ɑ́ ɡ
ազդանշան	ɑ s tʰ ɑ n ə ʃ ɑ́ n
ազդարար	ɑ s tʰ ɑ ɾ ɑ́ ɾ
ազդարարել	ɑ s tʰ ɑ ɾ ɑ ɾ é l
ազդել	ɑ s tʰ é l
ազդեցիկ	ɑ s tʰ e t͡sʰ í ɡ
ազդեցություն	ɑ s tʰ e t͡sʰ u tʰ ʏ́ n
ազդող	ɑ s tʰ ó ʁ
ազդու	ɑ s tʰ ú
ազդվել	ɑ s tʰ v é l
ազդր	ɑ́ s tʰ ə ɾ
ազդրոսկր	ɑ s tʰ ɾ ó s k ə ɾ
ազերի	ɑ z e ɾ í
ազիկ	ɑ z í ɡ
ազնավոր	ɑ z n ɑ v ó ɾ
ազնավուր	ɑ z n ɑ v ú ɾ
ազնիվ	ɑ z n í v
ազնվական	ɑ z n ə v ɑ ɡ ɑ́ n
ազնվամորի	ɑ z n ə v ɑ m o ɾ í
ազոխ	ɑ z ó χ
ազոտ	ɑ z ó d
աթաբեկ	ɑ tʰ ɑ pʰ é ɡ
աթեիզմ	ɑ tʰ e j í z m
աթեիստ	ɑ tʰ e j í s t
աթլաս	ɑ tʰ l ɑ́ s
աթլետիկա	ɑ tʰ l é d i ɡ ɑ
աթոռ	ɑ tʰ ó r
աթոռակ	ɑ tʰ o r ɑ́ ɡ
աժան	ɑ ʒ ɑ́ n
աժդահա	ɑ ʃ tʰ ɑ h ɑ́
աժդահակ	ɑ ʃ tʰ ɑ h ɑ́ ɡ
ալ	ɑ l
ալաբաստր	ɑ l ɑ pʰ ɑ́ s t ə ɾ
ալաբաստրե	ɑ l ɑ pʰ ɑ s t ɾ é
ալաբաստրյա	ɑ l ɑ pʰ ɑ s t ɾ j ɑ́
ալաժահրի	ɑ l ɑ ʒ ɑ h ɾ í
ալամ	ɑ l ɑ́ m
ալան	ɑ l ɑ́ n
ալանի	ɑ l ɑ n í
ալարել	ɑ l ɑ ɾ é l
ալբաներեն	ɑ l pʰ ɑ n e ɾ é n
ալբատրոս	ɑ l pʰ ɑ d ɾ ó s
ալբուխարա	ɑ l pʰ u χ ɑ ɾ ɑ́
ալգորիթմ	ɑ l kʰ o ɾ í tʰ m
ալեբաստր	ɑ l e pʰ ɑ́ s t ə ɾ
ալեբաստրե	ɑ l e pʰ ɑ s t ɾ é
ալեբաստրյա	ɑ l e pʰ ɑ s t ɾ j ɑ́
ալեզարդ	ɑ l e z ɑ́ ɾ tʰ
ալեկոծ	ɑ l e ɡ ó d͡z
ալեկոծել	ɑ l e ɡ o d͡z é l
ալեհավաք	ɑ l e h ɑ v ɑ́ kʰ
ալեհերձ	ɑ l e h é ɾ t͡sʰ
ալեմաներեն	ɑ l e m ɑ n e ɾ é n
ալի	ɑ l í
ալիգատոր	ɑ l i kʰ ɑ d ó ɾ
ալիք	ɑ l í kʰ
ալկիոն	ɑ l ɡ i j ó n
ալկոգել	ɑ l ɡ o kʰ é l
ալկոհոլ	ɑ l ɡ o h ó l
ալկոհոլային	ɑ l ɡ o h o l ɑ j í n
ալկոհոլիզմ	ɑ l ɡ o h o l í z m
ալկոհոլիկ	ɑ l ɡ o h o l í ɡ
ալկոհոլիկ	ɑ l ɡ o h ó l i ɡ
ալմանախ	ɑ l m ɑ n ɑ́ χ
ալմաս	ɑ l m ɑ́ s
ալմաստ	ɑ l m ɑ́ s t
ալյանս	ɑ l j ɑ́ n s
ալյումին	ɑ l ʏ m í n
ալյումինում	ɑ l ʏ m i n ú m
ալյուր	ɑ l ʏ́ ɾ
ալոե	ɑ l o é
ալոճ	ɑ l ó d͡ʒ
ալոճենի	ɑ l o d͡ʒ e n í
ալոջ	ɑ l ó t͡ʃʰ
ալուճ	ɑ l ú d͡ʒ
ալուր	ɑ l ú ɾ
ալուցք	ɑ l ú t͡sʰ kʰ
ալպագա	ɑ l b ɑ kʰ ɑ́
ալպակ	ɑ l b ɑ́ ɡ
ալպակա	ɑ l b ɑ ɡ ɑ́
ալպակա	ɑ l b ɑ́ ɡ ɑ
ալպինիզմ	ɑ l b i n í z m
ալպինիստ	ɑ l b i n í s t
ալտ	ɑ l d
ալրաղաց	ɑ l ɾ ɑ ʁ ɑ́ t͡sʰ
ալք	ɑ l kʰ
ալքիմիա	ɑ l kʰ i m i j ɑ́
ալքիմիա	ɑ l kʰ í m i j ɑ
ալքիմիկոս	ɑ l kʰ i m i ɡ ó s
ալևոր	ɑ l e v ó ɾ
ախ	ɑ χ
ախազ	ɑ χ ɑ́ z
ախմախ	ɑ χ m ɑ́ χ
ախոյան	ɑ χ o j ɑ́ n
ախոռ	ɑ χ ó r
ախոռներ	ɑ χ o r n é ɾ
ախորժ	ɑ χ ó ɾ ʒ
ախորժակ	ɑ χ o ɾ ʒ ɑ́ ɡ
ախպար	ɑ χ p ɑ́ ɾ
ախպեր	ɑ χ p é ɾ
ախտ	ɑ χ t
ախտաբան	ɑ χ t ɑ pʰ ɑ́ n
ախտաբանական	ɑ χ t ɑ pʰ ɑ n ɑ ɡ ɑ́ n
ախտաբանություն	ɑ χ t ɑ pʰ ɑ n u tʰ ʏ́ n
ախտանիշ	ɑ χ t ɑ n í ʃ
ախտանշան	ɑ χ t ɑ n ə ʃ ɑ́ n
ախտարար	ɑ χ t ɑ ɾ ɑ́ ɾ
ախտորոշել	ɑ χ t o ɾ o ʃ é l
ախտորոշում	ɑ χ t o ɾ o ʃ ú m
ախր	ɑ́ χ ə ɾ
ած	ɑ d͡z
ածական	ɑ d͡z ɑ ɡ ɑ́ n
ածականային	ɑ d͡z ɑ ɡ ɑ n ɑ j í n
ածանց	ɑ d͡z ɑ́ n t͡sʰ
ածանցել	ɑ d͡z ɑ n t͡sʰ é l
ածանցյալ	ɑ d͡z ɑ n t͡sʰ j ɑ́ l
ածել	ɑ d͡z é l
ածելի	ɑ d͡z e l í
ածեր	ɑ d͡z é ɾ
ածիլել	ɑ d͡z i l é l
ածիկ	ɑ d͡z í ɡ
ածխաթթու	ɑ d͡z χ ɑ tʰ ə tʰ ú
ածխածին	ɑ d͡z χ ɑ d͡z í n
ածխաջուր	ɑ d͡z χ ɑ t͡ʃʰ ú ɾ
ածու	ɑ d͡z ú
ածուխ	ɑ d͡z ú χ
ածք	ɑ t͡sʰ kʰ
ակ	ɑ ɡ
ակադեմիա	ɑ ɡ ɑ tʰ é m i j ɑ
ակադեմիկոս	ɑ ɡ ɑ tʰ e m i ɡ ó s
ակահ	ɑ ɡ ɑ́ h
ական	ɑ ɡ ɑ́ n
ականակիտ	ɑ ɡ ɑ n ɑ ɡ í d
ականանետ	ɑ ɡ ɑ n ɑ n é d
ականավոր	ɑ ɡ ɑ n ɑ v ó ɾ
ականատես	ɑ ɡ ɑ n ɑ d é s
ականի	ɑ ɡ ɑ n í
ականջ	ɑ ɡ ɑ́ n t͡ʃʰ
ականջակալ	ɑ ɡ ɑ n t͡ʃʰ ɑ ɡ ɑ́ l
ականջատ	ɑ ɡ ɑ n t͡ʃʰ ɑ́ d
ականջներ	ɑ ɡ ɑ n t͡ʃʰ n é ɾ
ականջօղ	ɑ ɡ ɑ n t͡ʃʰ ó ʁ
ակիշ	ɑ ɡ í ʃ
ակն	ɑ́ ɡ ə n
ակնաբանություն	ɑ ɡ n ɑ pʰ ɑ n u tʰ ʏ́ n
ակնաբուժություն	ɑ ɡ n ɑ pʰ u ʒ u tʰ ʏ́ n
ակնախնձոր	ɑ ɡ n ɑ χ ə n t͡sʰ ó ɾ
ակնածալի	ɑ ɡ n ɑ d͡z ɑ l í
ակնածալից	ɑ ɡ n ɑ d͡z ɑ l í t͡sʰ
ակնածական	ɑ ɡ n ɑ d͡z ɑ ɡ ɑ́ n
ակնածանք	ɑ ɡ n ɑ d͡z ɑ́ ŋ kʰ
ակնածել	ɑ ɡ n ɑ d͡z é l
ակնածելի	ɑ ɡ n ɑ d͡z e l í
ակնածիածան	ɑ ɡ n ɑ d͡z i j ɑ d͡z ɑ́ n
ակնածոտ	ɑ ɡ n ɑ d͡z ó d
ակնածու	ɑ ɡ n ɑ d͡z ú
ակնածություն	ɑ ɡ n ɑ d͡z u tʰ ʏ́ n
ակնակապիճ	ɑ ɡ n ɑ ɡ ɑ b í d͡ʒ
ակնաղբյուր	ɑ ɡ n ɑ χ p ʏ́ ɾ
ակնամոմ	ɑ ɡ n ɑ m ó m
ակնային	ɑ ɡ n ɑ j í n
ակնարկ	ɑ ɡ n ɑ́ ɾ ɡ
ակնարկել	ɑ ɡ n ɑ ɾ ɡ é l
ակնեղեն	ɑ ɡ n e ʁ é n
ակներև	ɑ ɡ n e ɾ é v
ակներևաբար	ɑ ɡ n e ɾ e v ɑ pʰ ɑ́ ɾ
ակներևապես	ɑ ɡ n e ɾ e v ɑ b é s
ակներևորեն	ɑ ɡ n e ɾ e v o ɾ é n
ակնթարթ	ɑ ɡ ə n tʰ ɑ́ ɾ tʰ
ակնկալել	ɑ ɡ ə ŋ ɡ ɑ l é l
ակնկալիք	ɑ ɡ ə ŋ ɡ ɑ l í kʰ
ակնհայտ	ɑ ɡ ə n h ɑ́ j d
ակնհայտնի	ɑ ɡ ə n h ɑ j d n í
ակնոց	ɑ ɡ n ó t͡sʰ
ակոս	ɑ ɡ ó s
ակորդեոն	ɑ ɡ o ɾ tʰ e ó n
ակութ	ɑ ɡ ú tʰ
ակումբ	ɑ ɡ ú m pʰ
ակունք	ɑ ɡ ú ŋ kʰ
ակուշկա	ɑ k u ʃ k ɑ́
ակռա	ɑ ɡ r ɑ́
ակտինիում	ɑ ɡ d i n i j ú m
ակտինիում	ɑ ɡ d í n i j u m
ակտիվ	ɑ ɡ d í v
ակտիվորեն	ɑ ɡ d i v o ɾ é n
ակրոբատ	ɑ ɡ ɾ o pʰ ɑ́ d
ակրոպոլիս	ɑ ɡ ɾ o b o l í s
ահ	ɑ h
ահա	ɑ h ɑ́
ահաբեկ	ɑ h ɑ pʰ é ɡ
ահաբեկել	ɑ h ɑ pʰ e ɡ é l
ահաբեկիչ	ɑ h ɑ pʰ e ɡ í t͡ʃʰ
ահաբեկություն	ɑ h ɑ pʰ e ɡ u tʰ ʏ́ n
ահաբեկում	ɑ h ɑ pʰ e ɡ ú m
ահաբեկչական	ɑ h ɑ pʰ e kʰ t͡ʃʰ ɑ ɡ ɑ́ n
ահաբեկչություն	ɑ h ɑ pʰ e kʰ t͡ʃʰ u tʰ ʏ́ n
ահաբեկվածություն	ɑ h ɑ pʰ e ɡ v ɑ d͡z u tʰ ʏ́ n
ահաբեկվել	ɑ h ɑ pʰ e ɡ v é l
ահաբեր	ɑ h ɑ pʰ é ɾ
ահագին	ɑ h ɑ kʰ í n
ահագնանալ	ɑ h ɑ kʰ n ɑ n ɑ́ l
ահազանգ	ɑ h ɑ z ɑ́ ŋ kʰ
ահազանգել	ɑ h ɑ z ɑ ŋ kʰ é l
ահազանգում	ɑ h ɑ z ɑ ŋ kʰ ú m
ահազարհուր	ɑ h ɑ z ɑ ɾ h ú ɾ
ահազդ	ɑ h ɑ́ s tʰ
ահազդեցիկ	ɑ h ɑ s tʰ e t͡sʰ í ɡ
ահազդիկ	ɑ h ɑ s tʰ í ɡ
ահազդու	ɑ h ɑ s tʰ ú
ահահար	ɑ h ɑ h ɑ́ ɾ
ահեղ	ɑ h é ʁ
ահռելի	ɑ h r e l í
աղ	ɑ ʁ
աղա	ɑ ʁ ɑ́
աղագավ	ɑ ʁ ɑ kʰ ɑ́ v
աղալ	ɑ ʁ ɑ́ l
աղախին	ɑ ʁ ɑ χ í n
աղաղակ	ɑ ʁ ɑ ʁ ɑ́ ɡ
աղաղակել	ɑ ʁ ɑ ʁ ɑ ɡ é l
աղաման	ɑ ʁ ɑ m ɑ́ n
աղամող	ɑ ʁ ɑ m ó ʁ
աղանդ	ɑ ʁ ɑ́ n tʰ
աղանդավոր	ɑ ʁ ɑ n tʰ ɑ v ó ɾ
աղանդավորական	ɑ ʁ ɑ n tʰ ɑ v o ɾ ɑ ɡ ɑ́ n
աղանդավորություն	ɑ ʁ ɑ n tʰ ɑ v o ɾ u tʰ ʏ́ n
աղանդեր	ɑ ʁ ɑ n tʰ é ɾ
աղանձ	ɑ ʁ ɑ́ n t͡sʰ
աղանձել	ɑ ʁ ɑ n t͡sʰ é l
աղաչանք	ɑ ʁ ɑ t͡ʃʰ ɑ́ ŋ kʰ
աղաչել	ɑ ʁ ɑ t͡ʃʰ é l
աղավաղ	ɑ ʁ ɑ v ɑ́ ʁ
աղավաղել	ɑ ʁ ɑ v ɑ ʁ é l
աղավնի	ɑ ʁ ɑ v n í
աղատ	ɑ ʁ ɑ́ d
աղատել	ɑ ʁ ɑ d é l
աղարտել	ɑ ʁ ɑ ɾ d é l
աղաց	ɑ ʁ ɑ́ t͡sʰ
աղաք	ɑ ʁ ɑ́ kʰ
աղբ	ɑ χ p
աղբաման	ɑ χ p ɑ m ɑ́ n
աղբանոց	ɑ χ p ɑ n ó t͡sʰ
աղբարկղ	ɑ χ p ɑ́ ɾ ɡ ə ʁ
աղբերակ	ɑ χ p e ɾ ɑ́ ɡ
աղբյուս	ɑ χ p ʏ́ s
աղբյուր	ɑ χ p ʏ́ ɾ
աղբյուրակ	ɑ χ p ʏ ɾ ɑ́ ɡ
աղբուն	ɑ χ p ú n
աղբուտ	ɑ χ p ú d
աղեբեկ	ɑ ʁ e pʰ é ɡ
աղեկ	ɑ ʁ é ɡ
աղեղ	ɑ ʁ é ʁ
աղեղնավոր	ɑ ʁ e ʁ n ɑ v ó ɾ
աղետ	ɑ ʁ é d
աղերս	ɑ ʁ é ɾ s
աղերսանք	ɑ ʁ e ɾ s ɑ́ ŋ kʰ
աղերսել	ɑ ʁ e ɾ s é l
աղի	ɑ ʁ í
աղիճ	ɑ ʁ í d͡ʒ
աղիողորմ	ɑ ʁ i j o ʁ ó ɾ m
աղիք	ɑ ʁ í kʰ
աղլուխ	ɑ ʁ l ú χ
աղխ	ɑ χː
աղկաղկ	ɑ χ k ɑ́ χ k
աղճատ	ɑ ʁ d͡ʒ ɑ́ d
աղճատել	ɑ ʁ d͡ʒ ɑ d é l
աղմկել	ɑ ʁ m ə ɡ é l
աղմկոտ	ɑ ʁ m ə ɡ ó d
աղմուկ	ɑ ʁ m ú ɡ
աղյուս	ɑ ʁ ʏ́ s
աղյուսակ	ɑ ʁ ʏ s ɑ́ ɡ
աղյուսե	ɑ ʁ ʏ s é
աղյուսյակ	ɑ ʁ ʏ s j ɑ́ ɡ
աղոթակեր	ɑ ʁ o tʰ ɑ ɡ é ɾ
աղոթարար	ɑ ʁ o tʰ ɑ ɾ ɑ́ ɾ
աղոթել	ɑ ʁ o tʰ é l
աղոթկեր	ɑ ʁ o tʰ k é ɾ
աղոթք	ɑ ʁ ó tʰ kʰ
աղոտ	ɑ ʁ ó d
աղորի	ɑ ʁ o ɾ í
աղորիք	ɑ ʁ o ɾ í kʰ
աղու	ɑ ʁ ú
աղուն	ɑ ʁ ú n
աղունիկ	ɑ ʁ u n í ɡ
աղջամուղջ	ɑ χ t͡ʃʰ ɑ m ú χ t͡ʃʰ
աղջիկ	ɑ χ t͡ʃʰ í ɡ
աղջություն	ɑ χ t͡ʃʰ u tʰ ʏ́ n
աղվամազ	ɑ ʁ v ɑ m ɑ́ z
աղվան	ɑ ʁ v ɑ́ n
աղվաշ	ɑ ʁ v ɑ́ ʃ
աղվես	ɑ ʁ v é s
աղվեսենի	ɑ ʁ v e s e n í
աղվոր	ɑ ʁ v ó ɾ
աղտ	ɑ ʁ d
աղտամուղտ	ɑ ʁ d ɑ m ú ʁ d
աղտեղի	ɑ ʁ d e ʁ í
աղտոտ	ɑ χ t ó d
աղտոտել	ɑ χ t o d é l
աղցան	ɑ χ t͡sʰ ɑ́ n
աղքատ	ɑ χ kʰ ɑ́ d
աղքատները	ɑ χ kʰ ɑ d n é ɾ ə
աղքատություն	ɑ χ kʰ ɑ d u tʰ ʏ́ n
աճ	ɑ d͡ʒ
աճապարել	ɑ d͡ʒ ɑ b ɑ ɾ é l
